"행정구역","2025년03월_계_총인구수","2025년03월_계_연령구간인구수","2025년03월_계_0~9세","2025년03월_계_10~19세","2025년03월_계_20~29세","2025년03월_계_30~39세","2025년03월_계_40~49세","2025년03월_계_50~59세","2025년03월_계_60~69세","2025년03월_계_70~79세","2025년03월_계_80~89세","2025년03월_계_90~99세","2025년03월_계_100세 이상","2025년03월_남_총인구수","2025년03월_남_연령구간인구수","2025년03월_남_0~9세","2025년03월_남_10~19세","2025년03월_남_20~29세","2025년03월_남_30~39세","2025년03월_남_40~49세","2025년03월_남_50~59세","2025년03월_남_60~69세","2025년03월_남_70~79세","2025년03월_남_80~89세","2025년03월_남_90~99세","2025년03월_남_100세 이상","2025년03월_여_총인구수","2025년03월_여_연령구간인구수","2025년03월_여_0~9세","2025년03월_여_10~19세","2025년03월_여_20~29세","2025년03월_여_30~39세","2025년03월_여_40~49세","2025년03월_여_50~59세","2025년03월_여_60~69세","2025년03월_여_70~79세","2025년03월_여_80~89세","2025년03월_여_90~99세","2025년03월_여_100세 이상"
"경기도 남양주시 (4136000000)","730,717","730,717","48,970","78,586","78,898","84,304","122,729","130,060","101,873","55,624","25,702","3,852","119","361,553","361,553","25,151","40,280","40,544","42,372","60,597","65,737","50,257","25,516","10,100","973","26","369,164","369,164","23,819","38,306","38,354","41,932","62,132","64,323","51,616","30,108","15,602","2,879","93"
"경기도 남양주시 와부읍(4136025000)","57,980","57,980","2,746","6,399","6,588","5,466","8,598","11,277","8,688","5,210","2,615","380","13","28,471","28,471","1,442","3,277","3,474","2,834","3,985","5,561","4,299","2,379","1,106","109","5","29,509","29,509","1,304","3,122","3,114","2,632","4,613","5,716","4,389","2,831","1,509","271","8"
"경기도 남양주시 진접읍(4136025300)","95,246","95,246","5,688","11,264","10,477","9,746","15,372","17,630","13,653","7,354","3,517","530","15","47,822","47,822","2,961","5,812","5,571","5,080","7,516","9,147","6,851","3,380","1,349","151","4","47,424","47,424","2,727","5,452","4,906","4,666","7,856","8,483","6,802","3,974","2,168","379","11"
"경기도 남양주시 화도읍(4136025600)","63,618","63,618","3,238","6,490","7,083","6,103","10,246","12,538","9,638","5,395","2,538","338","11","31,695","31,695","1,625","3,351","3,738","3,209","5,106","6,435","4,782","2,390","983","75","1","31,923","31,923","1,613","3,139","3,345","2,894","5,140","6,103","4,856","3,005","1,555","263","10"
"경기도 남양주시 화도읍동부출장소(4136025700)","12,964","12,964","956","1,372","1,169","1,413","2,247","2,236","2,030","987","444","108","2","6,540","6,540","516","695","607","718","1,164","1,117","1,024","496","176","26","1","6,424","6,424","440","677","562","695","1,083","1,119","1,006","491","268","82","1"
"경기도 남양주시 화도읍남부출장소(4136025800)","35,509","35,509","2,453","4,216","3,601","3,616","6,349","6,666","4,688","2,557","1,209","150","4","17,779","17,779","1,279","2,233","1,915","1,806","3,094","3,452","2,345","1,149","471","35","0","17,730","17,730","1,174","1,983","1,686","1,810","3,255","3,214","2,343","1,408","738","115","4"
"경기도 남양주시 진건읍(4136025900)","20,058","20,058","578","1,369","2,172","2,001","2,266","3,997","4,318","2,128","1,030","190","9","10,348","10,348","311","741","1,164","1,149","1,191","2,087","2,290","1,004","370","39","2","9,710","9,710","267","628","1,008","852","1,075","1,910","2,028","1,124","660","151","7"
"경기도 남양주시 오남읍(4136026200)","50,965","50,965","2,318","5,481","6,411","4,816","7,685","10,798","7,192","3,922","2,045","292","5","25,399","25,399","1,195","2,850","3,329","2,532","3,797","5,549","3,617","1,711","755","63","1","25,566","25,566","1,123","2,631","3,082","2,284","3,888","5,249","3,575","2,211","1,290","229","4"
"경기도 남양주시 퇴계원읍(4136026500)","26,742","26,742","1,040","2,134","3,032","2,980","3,294","5,032","5,280","2,552","1,235","160","3","13,251","13,251","525","1,099","1,600","1,587","1,672","2,463","2,558","1,212","494","40","1","13,491","13,491","515","1,035","1,432","1,393","1,622","2,569","2,722","1,340","741","120","2"
"경기도 남양주시 별내면(4136031000)","18,013","18,013","693","1,586","1,977","1,508","2,347","3,731","3,110","1,882","1,031","141","7","9,000","9,000","356","815","1,056","771","1,214","1,905","1,561","858","430","31","3","9,013","9,013","337","771","921","737","1,133","1,826","1,549","1,024","601","110","4"
"경기도 남양주시 수동면(4136034000)","8,500","8,500","188","472","601","604","839","1,599","2,105","1,286","643","158","5","4,445","4,445","94","272","356","339","469","856","1,106","639","276","37","1","4,055","4,055","94","200","245","265","370","743","999","647","367","121","4"
"경기도 남양주시 조안면(4136036000)","3,759","3,759","99","201","300","288","411","687","935","546","249","40","3","1,941","1,941","56","109","156","149","214","361","481","297","100","18","0","1,818","1,818","43","92","144","139","197","326","454","249","149","22","3"
"경기도 남양주시 호평동(4136051000)","55,616","55,616","4,212","6,942","6,006","5,758","10,675","10,150","6,255","3,685","1,697","230","6","27,008","27,008","2,192","3,511","3,132","2,751","5,075","5,069","2,989","1,539","690","59","1","28,608","28,608","2,020","3,431","2,874","3,007","5,600","5,081","3,266","2,146","1,007","171","5"
"경기도 남양주시 평내동(4136052000)","37,385","37,385","2,505","4,555","4,463","4,349","6,428","7,169","4,288","2,321","1,130","172","5","18,320","18,320","1,279","2,327","2,261","2,185","3,099","3,585","2,061","1,034","437","50","2","19,065","19,065","1,226","2,228","2,202","2,164","3,329","3,584","2,227","1,287","693","122","3"
"경기도 남양주시 금곡동(4136053000)","17,253","17,253","386","845","1,745","1,946","1,843","3,153","4,084","2,024","1,061","161","5","8,784","8,784","202","431","967","1,106","1,030","1,598","2,039","963","415","33","0","8,469","8,469","184","414","778","840","813","1,555","2,045","1,061","646","128","5"
"경기도 남양주시 양정동(4136054000)","2,318","2,318","71","86","242","265","219","427","580","267","141","18","2","1,371","1,371","42","44","154","163","143","260","348","145","65","7","0","947","947","29","42","88","102","76","167","232","122","76","11","2"
"경기도 남양주시 다산1동(4136054500)","105,555","105,555","11,454","12,456","10,253","16,758","21,462","14,140","10,317","6,042","2,331","331","11","51,500","51,500","5,868","6,304","4,845","7,939","10,788","7,079","4,873","2,810","905","86","3","54,055","54,055","5,586","6,152","5,408","8,819","10,674","7,061","5,444","3,232","1,426","245","8"
"경기도 남양주시 다산2동(4136056500)","36,395","36,395","3,481","4,467","3,638","4,387","7,648","5,990","3,988","1,919","755","120","2","17,738","17,738","1,722","2,273","1,819","2,070","3,753","3,027","1,880","887","278","28","1","18,657","18,657","1,759","2,194","1,819","2,317","3,895","2,963","2,108","1,032","477","92","1"
"경기도 남양주시 별내동(4136057000)","82,841","82,841","6,864","8,251","9,140","12,300","14,800","12,840","10,724","5,547","2,031","333","11","40,141","40,141","3,486","4,136","4,400","5,984","7,287","6,186","5,153","2,623","800","86","0","42,700","42,700","3,378","4,115","4,740","6,316","7,513","6,654","5,571","2,924","1,231","247","11"
